Cardiac_Function_and_ECG_Criteria,Current_Medication_Use,Demographics_and_General_Eligibility,Drug_Intolerances_and_Toxicity_History,Electrolytes_and_Minerals,Endocrine_and_Metabolic_Function,General_Comorbidities,Genomic_Alterations,Hematologic_Parameters,Liver_Function,Molecular_Biomarkers,Performance_Status_and_Prognosis,Primary_Tumor_Type,Prior_Treatment_Exposure,Renal_Function,Surgical_History_and_Plans,Treatment_Eligibility_Intent_and_Setting,Treatment_Lines_and_Sequencing,Tumor_Site_and_Extent,Vital_Signs_and_Body_Function_Metrics,Washout_Periods
HAS_BNP_ULN_OF_AT_MOST_X,CURRENTLY_GETS_CATEGORY_X_MEDICATION,ADHERES_TO_BLOOD_DONATION_PRESCRIPTIONS,HAS_EXPERIENCED_IMMUNOTHERAPY_RELATED_ADVERSE_EVENTS,HAS_ABNORMAL_ELECTROLYTE_LEVELS,HAS_AMYLASE_ULN_OF_AT_MOST_X,ADHERENCE_TO_PROTOCOL_REGARDING_ ATTENUATED_VACCINE_USE,ACTIVATING_MUTATION_IN_ANY_GENES_X,HAS_APTT_ULN_OF_AT_MOST_X,HAS_ALAT_ULN_OF_AT_MOST_X,EXPRESSION_OF_PROTEIN_X_BY_IHC,HAS_KARNOFSKY_SCORE_OF_AT_LEAST_X,CAN_PROVIDE_ARCHIVAL_OR_FRESH_TISSUE_SAMPLE_FOR_FURTHER_ANALYSIS,HAS_ACQUIRED_RESISTANCE_TO_DRUG_X,HAS_CREATININE_CLEARANCE_BETWEEN_X_AND_Y,HAD_HAD_LIVER_RESECTION,CURRENTLY_GETS_CHEMORADIOTHERAPY_OF_TYPE_X_CHEMOTHERAPY_AND_AT_LEAST_Y_CYCLES,HAS_HAD_AT_LEAST_X_APPROVED_TREATMENT_LINES,HAS_ANY_LESION,HAS_ADEQUATE_ORGAN_FUNCTION,HAS_HAD_ADJUVANT_CATEGORY_X_TREATMENT_WITHIN_Y_WEEKS
HAS_ECG_ABERRATION,CURRENTLY_GETS_HERBAL_MEDICATION,ADHERES_TO_SPERM_OR_EGG_DONATION_PRESCRIPTIONS,HAS_HISTORY_OF_ANAPHYLAXIS,HAS_CALCIUM_MG_PER_DL_OF_AT_MOST_X,HAS_BOUND_TRIIODOTHYRONINE_WITHIN_INSTITUTIONAL_NORMAL_LIMITS,HAS_ACTIVE_INFECTION,ACTIVATING_MUTATION_IN_GENE_X_EXCLUDING_CODONS_Y,HAS_APTT_WITHIN_INSTITUTIONAL_NORMAL_LIMITS,HAS_ALBUMIN_G_PER_DL_OF_AT_LEAST_X,EXPRESSION_OF_PROTEIN_X_BY_IHC_OF_AT_LEAST_Y,HAS_LANSKY_SCORE_OF_AT_LEAST_X,CAN_PROVIDE_FRESH_TISSUE_SAMPLE_FOR_FURTHER_ANALYSIS,HAS_CUMULATIVE_ANTHRACYCLINE_EXPOSURE_OF_AT_MOST_X_MG_PER_M2_DOXORUBICIN_OR_EQUIVALENT,HAS_CREATININE_CLEARANCE_CG_OF_AT_LEAST_X,HAS_HAD_COMPLETE_RESECTION,HAS_HAD_NON_INTERNAL_RADIOTHERAPY,HAS_HAD_AT_LEAST_X_SYSTEMIC_TREATMENT_LINES,HAS_ANY_STAGE_X,HAS_BMI_OF_AT_MOST_X,HAS_HAD_CATEGORY_X_TREATMENT_IGNORING_TYPES_Y_WITHIN_Z_WEEKS
HAS_FAMILY_HISTORY_OF_IDIOPATHIC_SUDDEN_DEATH,CURRENTLY_GETS_MEDICATION_INDUCING_ANY_CYP,CAN_GIVE_ADEQUATE_INFORMED_CONSENT,HAS_INTOLERANCE_FOR_PD_1_OR_PD_L1_INHIBITORS,HAS_CALCIUM_WITHIN_INSTITUTIONAL_NORMAL_LIMITS,HAS_CORTISOL_LLN_OF_AT_LEAST_X,HAS_ACTIVE_SECOND_MALIGNANCY,ACTIVATION_OR_AMPLIFICATION_OF_GENE_X,HAS_HAD_ERYTHROCYTE_TRANSFUSION_WITHIN_LAST_X_WEEKS,HAS_ALBUMIN_LLN_OF_AT_LEAST_X,EXPRESSION_OF_PROTEIN_X_BY_IHC_OF_AT_MOST_Y,HAS_LIFE_EXPECTANCY_OF_AT_LEAST_X_MONTHS,HAS_BREAST_CANCER_RECEPTOR_X_POSITIVE,HAS_EXHAUSTED_SOC_TREATMENTS,HAS_CREATININE_MG_PER_DL_OF_AT_MOST_X,HAS_HAD_CYTOREDUCTIVE_SURGERY,HAS_HAD_RADIOTHERAPY_TO_BODY_LOCATION_X,HAS_HAD_AT_MOST_X_SYSTEMIC_TREATMENT_LINES,HAS_AT_MOST_X_DISTANT_METASTASES,HAS_BODY_WEIGHT_OF_AT_LEAST_X,HAS_HAD_CATEGORY_X_TREATMENT_OF_TYPES_Y_FOR_AT_MOST_Z_WEEKS
HAS_FAMILY_HISTORY_OF_LONG_QT_SYNDROME,CURRENTLY_GETS_MEDICATION_INDUCING_CYP_X,IS_AT_LEAST_X_YEARS_OLD,HAS_INTOLERANCE_RELATED_TO_STUDY_MEDICATION,HAS_CORRECTED_CALCIUM_ULN_OF_AT_MOST_X,HAS_FREE_THYROXINE_WITHIN_INSTITUTIONAL_NORMAL_LIMITS,HAS_ADEQUATE_VENOUS_ACCESS,AMPLIFICATION_OF_GENE_X,HAS_HAD_THROMBOCYTE_TRANSFUSION_WITHIN_LAST_X_WEEKS,HAS_ALP_ULN_OF_AT_LEAST_X,EXPRESSION_OF_PROTEIN_X_BY_IHC_OF_EXACTLY_Y,HAS_LIFE_EXPECTANCY_OF_AT_LEAST_X_WEEKS,HAS_CANCER_OF_UNKNOWN_PRIMARY_AND_TYPE_X,HAS_HAD_ADJUVANT_CATEGORY_X_TREATMENT,HAS_CREATININE_ULN_OF_AT_MOST_X,HAS_HAD_DEFINITIVE_LOCOREGIONAL_THERAPY_WITH_CURATIVE_INTENT,IS_ELIGIBLE_FOR_FIRST_LINE_PALLIATIVE_CHEMOTHERAPY,HAS_HAD_CATEGORY_X_TREATMENT_AND_AT_LEAST_Y_LINES,HAS_BCLC_STAGE_X,HAS_BODY_WEIGHT_OF_AT_MOST_X,HAS_HAD_CATEGORY_X_TREATMENT_OF_TYPES_Y_FOR_AT_MOST_Z_WEEKS_WITH_STOP_REASON_OTHER_THAN_PD
HAS_JTC_OF_AT_LEAST_X,CURRENTLY_GETS_MEDICATION_INHIBITING_CYP_X,IS_BREASTFEEDING,HAS_INTOLERANCE_TO_NAME_X,HAS_CORRECTED_CALCIUM_WITHIN_INSTITUTIONAL_NORMAL_LIMITS,HAS_FREE_TRIIODOTHYRONINE_WITHIN_INSTITUTIONAL_NORMAL_LIMITS,HAS_ANY_COMPLICATION,AMPLIFICATION_OF_GENE_X_OF_AT_LEAST_Y_COPIES,HAS_HEMOGLOBIN_G_PER_DL_OF_AT_LEAST_X,HAS_ALP_ULN_OF_AT_MOST_X,HAS_AFP_ULN_OF_AT_LEAST_X,HAS_WHO_STATUS_OF_AT_EXACTLY_X,HAS_CANCER_WITH_NEUROENDOCRINE_COMPONENT,HAS_HAD_ANY_CANCER_TREATMENT,HAS_EGFR_CKD_EPI_OF_AT_LEAST_X,HAS_HAD_ONCOLOGICAL_SURGERY_TO_ANY_BODY_LOCATION_X,IS_ELIGIBLE_FOR_PALLIATIVE_RADIOTHERAPY,HAS_HAD_CATEGORY_X_TREATMENT_AND_AT_MOST_Y_LINES,HAS_BIOPSY_AMENABLE_LESION,HAS_DBP_MMHG_OF_AT_LEAST_X,HAS_HAD_CATEGORY_X_TREATMENT_OF_TYPES_Y_WITHIN_Z_WEEKS
HAS_LONG_QT_SYNDROME,CURRENTLY_GETS_MEDICATION_INHIBITING_OR_INDUCING_ANY_CYP,IS_FEMALE,HAS_INTOLERANCE_TO_PLATINUM_COMPOUNDS,HAS_CORRECTED_MAGNESIUM_WITHIN_INSTITUTIONAL_NORMAL_LIMITS,HAS_GLUCOSE_FASTING_PLASMA_MMOL_PER_L_OF_AT_MOST_X,HAS_COMPLICATION_WITH_ANY_ICD_TITLE_X,COPY_NUMBER_OF_GENE_X_OF_AT_LEAST_Y,HAS_HEMOGLOBIN_MMOL_PER_L_OF_AT_LEAST_X,HAS_ASAT_AND_ALAT_ULN_OF_AT_MOST_X_OR_AT_MOST_Y_WHEN_LIVER_METASTASES_PRESENT,HAS_ANTI_HLA_ANTIBODIES_AGAINST_PDC_LINE,HAS_WHO_STATUS_OF_AT_MOST_X,HAS_CANCER_WITH_SMALL_CELL_COMPONENT,HAS_HAD_ANY_CANCER_TREATMENT_IGNORING_CATEGORY_X,HAS_EGFR_MDRD_OF_AT_LEAST_X,HAS_HAD_PARTIAL_RESECTION,IS_ELIGIBLE_FOR_RADIOTHERAPY,HAS_HAD_CATEGORY_X_TREATMENT_OF_TYPES_Y_AND_AT_LEAST_Z_LINES,HAS_BONE_METASTASES,HAS_DBP_MMHG_OF_AT_MOST_X,HAS_HAD_LOCAL_HEPATIC_THERAPY_WITHIN_X_WEEKS
HAS_LVEF_OF_AT_LEAST_X,CURRENTLY_GETS_MEDICATION_INHIBITING_OR_INDUCING_CYP_X,IS_INVOLVED_IN_STUDY_PROCEDURES,HAS_INTOLERANCE_TO_TAXANE,HAS_CORRECTED_POTASSIUM_WITHIN_INSTITUTIONAL_NORMAL_LIMITS,HAS_LIPASE_ULN_OF_AT_MOST_X,HAS_DIABETES,DRIVER_EVENT_IN_ANY_GENES_X_WITH_APPROVED_THERAPY_AVAILABLE,HAS_INR_ULN_OF_AT_MOST_X,HAS_ASAT_ULN_OF_AT_MOST_X,HAS_CA125_ULN_OF_AT_LEAST_X,MEETS_REQUIREMENTS_DURING_SIX_MINUTE_WALKING_TEST,HAS_CYTOLOGICAL_DOCUMENTATION_OF_TUMOR_TYPE,HAS_HAD_ANY_CANCER_TREATMENT_WITHIN_X_MONTHS,HAS_MEASURED_CREATININE_CLEARANCE_OF_AT_LEAST_X,HAS_HAD_RECENT_SURGERY,IS_ELIGIBLE_FOR_RADIOTHERAPY_TO_BODY_LOCATION_X,HAS_HAD_CATEGORY_X_TREATMENT_OF_TYPES_Y_AND_AT_MOST_Z_LINES,HAS_BONE_METASTASES_ONLY,HAS_PULSE_OXIMETRY_OF_AT_LEAST_X,HAS_HAD_RADIOTHERAPY_TO_BODY_LOCATION_X_WITHIN_Y_WEEKS
HAS_NORMAL_CARDIAC_FUNCTION_BY_MUGA_OR_TTE,CURRENTLY_GETS_MEDICATION_INHIBITING_TRANSPORTER_X,IS_LEGALLY_INSTITUTIONALIZED,HAS_INTOLERANCE_WITH_ICD_TITLE_X,HAS_IONIZED_CALCIUM_MMOL_PER_L_OF_AT_MOST_X,HAS_SERUM_TESTOSTERONE_NG_PER_DL_OF_AT_MOST_X,HAS_GILBERT_DISEASE,EXON_SKIPPING_GENE_X_EXON_Y,HAS_LEUKOCYTES_ABS_LLN_OF_AT_LEAST_X,HAS_CHILD_PUGH_SCORE_X,HAS_CD4_POSITIVE_CELLS_MILLIONS_PER_LITER_OF_AT_LEAST_X,,HAS_EVALUABLE_DISEASE,HAS_HAD_ANY_SYSTEMIC_CANCER_TREATMENT_WITHIN_X_MONTHS,IS_IN_DIALYSIS,HAS_HAD_RESECTION_WITHIN_X_WEEKS,IS_ELIGIBLE_FOR_SURGERY_TYPE_X,HAS_NOT_HAD_CATEGORY_X_TREATMENT_OF_TYPES_Y_OR_AT_MOST_Z_LINES,HAS_EVIDENCE_OF_CNS_HEMORRHAGE_BY_MRI,HAS_RESTING_HEART_RATE_BETWEEN_X_AND_Y,HAS_HAD_SYSTEMIC_THERAPY_WITH_ANY_INTENT_X_AT_LEAST_Y_WEEKS_AGO
HAS_POTENTIAL_SIGNIFICANT_HEART_DISEASE,CURRENTLY_GETS_MEDICATION_SUBSTRATE_OF_CYP_X,IS_MALE,HAS_TOXICITY_ASTCT_OF_AT_LEAST_GRADE_X_WITH_ANY_ICD_TITLE_Y,HAS_MAGNESIUM_WITHIN_INSTITUTIONAL_NORMAL_LIMITS,HAS_TRIGLYCERIDE_MMOL_PER_L_OF_AT_MOST_X,HAS_HAD_ORGAN_TRANSPLANT,FUSION_IN_GENE_X,HAS_LEUKOCYTES_ABS_OF_AT_LEAST_X,HAS_DIRECT_BILIRUBIN_PERCENTAGE_OF_TOTAL_OF_AT_MOST_X,HAS_HCG_ULN_OF_AT_LEAST_X,,HAS_HISTOLOGICAL_DOCUMENTATION_OF_TUMOR_TYPE,HAS_HAD_BRAIN_RADIATION_THERAPY,,HAS_HAD_SURGERY_WITHIN_LAST_X_MONTHS,IS_NOT_ELIGIBLE_FOR_TREATMENT_WITH_CURATIVE_INTENT,HAS_NOT_HAD_CATEGORY_X_TREATMENT_OR_AT_MOST_Y_LINES,HAS_EXTENSIVE_SYSTEMIC_METASTASES_PREDOMINANTLY_DETERMINING_PROGNOSIS,HAS_SBP_MMHG_OF_AT_LEAST_X,HAS_HAD_SYSTEMIC_THERAPY_WITH_ANY_INTENT_X_WITHIN_Y_WEEKS
HAS_QTCF_OF_AT_LEAST_X,CURRENTLY_GETS_MEDICATION_SUBSTRATE_OF_TRANSPORTER_X,IS_PREGNANT,HAS_TOXICITY_CTCAE_OF_AT_LEAST_GRADE_X,HAS_PHOSPHATE_MMOL_PER_L_OF_AT_MOST_X,HAS_TSH_WITHIN_INSTITUTIONAL_NORMAL_LIMITS,HAS_HAD_ORGAN_TRANSPLANT_WITHIN_X_YEARS,HAS_CODELETION_OF_CHROMOSOME_ARMS_X_AND_Y,HAS_LYMPHOCYTES_ABS_OF_AT_LEAST_X,HAS_DIRECT_BILIRUBIN_ULN_OF_AT_MOST_X,HAS_HETEROZYGOUS_DPYD_DEFICIENCY,,HAS_INCURABLE_CANCER,HAS_HAD_CATEGORY_X_TREATMENT,,HAS_HAD_SURGERY_WITHIN_LAST_X_WEEKS,,HAS_PROGRESSIVE_DISEASE_FOLLOWING_AT_LEAST_X_TREATMENT_LINES,HAS_EXTRACRANIAL_METASTASES,HAS_SBP_MMHG_OF_AT_MOST_X,HAS_HAD_TREATMENT_NAME_X_WITHIN_Y_WEEKS
HAS_QTCF_OF_AT_LEAST_X_WITH_GENDER_Y,CURRENTLY_GETS_MEDICATION_SUBSTRATE_OR_INHIBITING_ANY_NON_EVALUABLE_TRANSPORTER_X,USES_ADEQUATE_ANTICONCEPTION,HAS_TOXICITY_CTCAE_OF_AT_LEAST_GRADE_X_IGNORING_ICD_TITLES_Y,HAS_PHOSPHATE_ULN_OF_AT_MOST_X,,HAS_HISTORY_OF_ARTERIAL_THROMBOEMBOLIC_EVENT,HAS_EGFR_PACC_MUTATION,HAS_LYMPHOCYTES_CELLS_PER_MM3_OF_AT_LEAST_X,HAS_INDIRECT_BILIRUBIN_ULN_OF_AT_MOST_X,HAS_HLA_GROUP_X,,HAS_INTRATUMORAL_HEMORRHAGE_BY_MRI,HAS_HAD_CATEGORY_X_TREATMENT_IGNORING_DRUGS_Y,,HAS_PATHOLOGICAL_COMPLETE_RESPONSE_AFTER_SURGERY,,HAS_RADIOLOGICAL_PROGRESSIVE_DISEASE_FOLLOWING_AT_LEAST_X_TREATMENT_LINES,HAS_INJECTION_AMENABLE_LESION,,HAS_PROGRESSIVE_DISEASE_FOLLOWING_CATEGORY_X_TREATMENT_OF_TYPES_Y_AND_AT_LEAST_Z_WEEKS
HAS_QTCF_OF_AT_MOST_X,CURRENTLY_GETS_NAME_X_MEDICATION,USES_TOBACCO_PRODUCTS,HAS_TOXICITY_CTCAE_OF_AT_LEAST_GRADE_X_WITH_ANY_ICD_TITLE_Y,HAS_PHOSPHATE_WITHIN_INSTITUTIONAL_NORMAL_LIMITS,,HAS_HISTORY_OF_AUTOIMMUNE_DISEASE,HAS_KNOWN_NSCLC_DRIVER_GENE_STATUSES,HAS_NEUTROPHILS_ABS_OF_AT_LEAST_X,HAS_TOTAL_BILIRUBIN_MG_PER_DL_OF_AT_MOST_X,HAS_HLA_TYPE_X,,HAS_KNOWN_SCLC_TRANSFORMATION,HAS_HAD_CATEGORY_X_TREATMENT_IGNORING_TYPES_Y,,HAS_PLANNED_SURGERY,,IS_ELIGIBLE_FOR_TREATMENT_LINES_X,HAS_IRRADIATION_AMENABLE_LESION,,HAS_RECEIVED_ANY_ANTI_CANCER_THERAPY_EXCL_CATEGORIES_X_WITHIN_Y_WEEKS
HAS_QTCF_OF_AT_MOST_X_WITH_GENDER_Y,CURRENTLY_GETS_POTENTIALLY_QT_PROLONGATING_MEDICATION,WILL_PARTICIPATE_IN_TRIAL_IN_COUNTRY_X,,HAS_POTASSIUM_MMOL_PER_L_OF_AT_LEAST_X,,HAS_HISTORY_OF_BLEEDING,HAS_MOLECULAR_EVENT_WITH_SOC_TARGETED_THERAPY_AVAILABLE_IN_NSCLC_EXCLUDING_ANY_GENE_X,HAS_POTENTIAL_LEUKOCYTOSIS,HAS_TOTAL_BILIRUBIN_ULN_OF_AT_MOST_X,HAS_HOMOZYGOUS_DPYD_DEFICIENCY,,HAS_LEFT_SIDED_COLORECTAL_TUMOR,HAS_HAD_CATEGORY_X_TREATMENT_OF_ALL_TYPES_Y,,MEETS_SPECIFIC_CRITERIA_FOR_RESECTION,,,HAS_LESIONS_CLOSE_TO_OR_INVOLVING_AIRWAY,,HAS_RECEIVED_ANY_ANTI_CANCER_THERAPY_EXCL_CATEGORIES_X_WITHIN_Y_WEEKS_Z_HALF_LIVES
HAS_QTC_OF_AT_MOST_X,HAS_RECEIVED_CATEGORY_X_MEDICATION_WITHIN_Y_WEEKS,,,HAS_POTASSIUM_WITHIN_INSTITUTIONAL_NORMAL_LIMITS,,HAS_HISTORY_OF_BONE_FRACTURE,HRD_SIGNATURE_WITHOUT_MUTATION_IN_GENES_X,HAS_PTT_ULN_OF_AT_MOST_X,HAS_TOTAL_BILIRUBIN_ULN_OF_AT_MOST_X_OR_DIRECT_BILIRUBIN_ULN_OF_AT_MOST_Y_IF_GILBERT_DISEASE,HAS_KNOWN_HPV_STATUS,,HAS_LOCALLY_ADVANCED_CANCER,HAS_HAD_CATEGORY_X_TREATMENT_OF_TYPES_Y,,,,,HAS_LESION_COUNT_OF_AT_LEAST_X_IN_BODY_LOCATION_Y,,HAS_RECEIVED_ANY_ANTI_CANCER_THERAPY_WITHIN_X_WEEKS
HAS_TROPONIN_I_OR_T_ULN_OF_AT_MOST_X,HAS_RECEIVED_MEDICATION_INDUCING_CYP_X_WITHIN_Y_WEEKS,,,HAS_POTENTIAL_HYPOCALCEMIA,,HAS_HISTORY_OF_CARDIAC_DISEASE,HRD_SIGNATURE_WITHOUT_MUTATION_OR_WITH_VUS_MUTATION_IN_GENES_X,HAS_PT_ULN_OF_AT_MOST_X,HAS_TOTAL_BILIRUBIN_ULN_OF_AT_MOST_X_OR_Y_IF_GILBERT_DISEASE,HAS_LDH_ULN_OF_AT_MOST_X,,HAS_LOW_RISK_OF_HEMORRHAGE_UPON_TREATMENT,HAS_HAD_CATEGORY_X_TREATMENT_OF_TYPES_Y_COMBINED_WITH_CATEGORY_Z_TREATMENT_OF_TYPES_A,,,,,HAS_LIVER_METASTASES,,HAS_RECEIVED_ANY_ANTI_CANCER_THERAPY_WITHIN_X_WEEKS_Y_HALF_LIVES
MEETS_REQUIREMENTS_DURING_CARDIAC_STRESS_TEST,HAS_STABLE_ANTICOAGULANT_MEDICATION_DOSING,,,HAS_POTENTIAL_HYPOKALEMIA,,HAS_HISTORY_OF_CARDIOVASCULAR_DISEASE,INACTIVATION_OF_GENE_X,HAS_PT_WITHIN_INSTITUTIONAL_NORMAL_LIMITS,HAS_TOTAL_BILIRUBIN_UMOL_PER_L_OF_AT_MOST_X,HAS_MOLECULAR_EVENT_WITH_SOC_TARGETED_THERAPY_AVAILABLE_IN_NSCLC,,HAS_NON_SQUAMOUS_NSCLC,HAS_HAD_CATEGORY_X_TREATMENT_OF_TYPES_Y_IGNORING_DRUGS_Z,,,,,HAS_LIVER_METASTASES_ONLY,,HAS_RECEIVED_CATEGORIES_X_CANCER_THERAPY_WITHIN_Y_WEEKS
